연번,업종명,업소명,소재지(도로명),소재지(지번),소재지전화,등록기준일
1,일반음식점,세종식당,세종특별자치시 조치원읍 조치원8길 34-6,세종특별자치시 조치원읍 정리 24-4 ,044 -865 -3356,2025-06-09
2,일반음식점,더비,"세종특별자치시 조치원읍 조치원로 3-1, 1층",세종특별자치시 조치원읍 원리 10-25 1층 ,044 -865 -1292,2025-06-09
3,일반음식점,맛샘식당,세종특별자치시 조치원읍 조치원8길 32,세종특별자치시 조치원읍 정리 24-7 ,044 -862 -1435,2025-06-09
4,일반음식점,조치원집,세종특별자치시 조치원읍 조치원8길 30,세종특별자치시 조치원읍 정리 24-1 ,044 -865 -3021,2025-06-09
5,일반음식점,한방족발 곰나루,세종특별자치시 조치원읍 조치원6길 34,세종특별자치시 조치원읍 정리 29-2 ,044 -865 -0948,2025-06-09
6,일반음식점,내집닭갈비,세종특별자치시 금남면 대평시장1길 3,세종특별자치시 금남면 용포리 193-26 ,,2025-06-09
7,일반음식점,어순이와돈돌이,세종특별자치시 조치원읍 새내12길 14,세종특별자치시 조치원읍 원리 15-4 ,044 -865 -6661,2025-06-09
8,일반음식점,삼거리식당,세종특별자치시 조치원읍 충현로 63,세종특별자치시 조치원읍 죽림리 32-8 ,044 -865 -3101,2025-06-09
9,일반음식점,용반점,"세종특별자치시 조치원읍 보람길 3, 1층",세종특별자치시 조치원읍 원리 141-6 (1층) ,044 -867 -5311,2025-06-09
10,일반음식점,고기먹자,세종특별자치시 금남면 용포로 103,세종특별자치시 금남면 용포리 205-27 ,,2025-06-09
11,일반음식점,춘화식당,세종특별자치시 금남면 용포로 79,세종특별자치시 금남면 용포리 193-35 ,044 -866 -7021,2025-06-09
12,일반음식점,부민식당,세종특별자치시 연동면 내송길 12,세종특별자치시 연동면 내판리 13-5 ,044 -864 -7018,2025-06-09
13,일반음식점,두드림,세종특별자치시 전의면 운주산로 1198,세종특별자치시 전의면 읍내리 254-30 ,,2025-06-09
14,일반음식점,보리경,"세종특별자치시 전의면 읍내길 3, 1층 (오른쪽 첫번째)",세종특별자치시 전의면 읍내리 255-1 ,,2025-06-09
15,일반음식점,우리식당,"세종특별자치시 연서면 당산로 354, 1층",세종특별자치시 연서면 봉암리 214-2 ,044 -867 -4810,2025-06-09
16,일반음식점,금성관,세종특별자치시 연서면 당산로 363,세종특별자치시 연서면 봉암리 211-3 ,044 -867 -3495,2025-06-09
17,일반음식점,서울식당,세종특별자치시 부강면 부촌길 48,세종특별자치시 부강면 부강리 443-4 ,044 -275 -4304,2025-06-09
18,일반음식점,자매성,세종특별자치시 부강면 오대길 8,세종특별자치시 부강면 부강리 112-2 ,044 -275 -4225,2025-06-09
19,일반음식점,뚱가네 제천식당,"세종특별자치시 조치원읍 보람길 7, 1층",세종특별자치시 조치원읍 원리 141-10 (1층) ,044 -866 -6226,2025-06-09
20,일반음식점,유명식당,세종특별자치시 전의면 운주산로 1200,세종특별자치시 전의면 읍내리 254-6 ,044 -863 -2223,2025-06-09
21,일반음식점,개미식당,세종특별자치시 전동면 운주산로 836,세종특별자치시 전동면 청람리 산 16-12 ,044 -863 -2722,2025-06-09
22,일반음식점,고가네갈비와냉면,세종특별자치시 조치원읍 새내12길 34,세종특별자치시 조치원읍 원리 2-4 ,044 -866 -6629,2025-06-09
23,일반음식점,금강식당,세종특별자치시 조치원읍 장안로 3,세종특별자치시 조치원읍 상리 136 ,044 -861 -2909,2025-06-09
24,일반음식점,청송식당,세종특별자치시 조치원읍 조치원3길 17,세종특별자치시 조치원읍 원리 8-7 ,044 -863 -8082,2025-06-09
25,일반음식점,길상 양꼬치 식당 2호점,"세종특별자치시 조치원읍 문화로 5-1, 1층",세종특별자치시 조치원읍 원리 1-6 ,044 -863 -9552,2025-06-09
26,일반음식점,부부식당,"세종특별자치시 조치원읍 조치원8길 27, 1층",세종특별자치시 조치원읍 정리 4-2 ,044 -862 -1040,2025-06-09
27,일반음식점,삼거리 고깃집,세종특별자치시 전의면 운주산로 1196,세종특별자치시 전의면 읍내리 254-22 ,044 -865 -5392,2025-06-09
28,일반음식점,키스,세종특별자치시 장군면 장척로 400,세종특별자치시 장군면 도계리 169-1 ,044 -868 -2700,2025-06-09
29,일반음식점,연기회관,"세종특별자치시 장군면 장척로 411-1, 1층",세종특별자치시 장군면 도계리 156-1 ,044 -857 -1256,2025-06-09
30,일반음식점,백마호프,세종특별자치시 장군면 장척로 413,세종특별자치시 장군면 도계리 156-10 ,044 -855 -0201,2025-06-09
31,일반음식점,정석식당,세종특별자치시 조치원읍 조치원8길 30,세종특별자치시 조치원읍 정리 24-1 ,044 -866 -5289,2025-06-09
32,일반음식점,대솔식당,세종특별자치시 조치원읍 조치원4길 13,세종특별자치시 조치원읍 원리 6-14 ,044 -863 -8668,2025-06-09
33,일반음식점,맛나 청국장,세종특별자치시 금남면 금남구즉로 1,세종특별자치시 금남면 용포리 211-14 ,044 -866 -7578,2025-06-09
34,일반음식점,그대랑닭갈비,세종특별자치시 조치원읍 조치원3길 28,세종특별자치시 조치원읍 교리 23-24 ,044 -864 -0370,2025-06-09
35,일반음식점,버무리 떡볶이 세종역점,"세종특별자치시 조치원읍 새내로 122, 메가박스 1층 115호",세종특별자치시 조치원읍 교리 24-1 메가박스 ,044 -866 -4522,2025-06-09
36,일반음식점,주마등,세종특별자치시 조치원읍 터미널안길 86-4,세종특별자치시 조치원읍 상리 152-11 ,044 -864 -0053,2025-06-09
37,일반음식점,청기와식당,세종특별자치시 금남면 용포로 72-6,세종특별자치시 금남면 용포리 146-5 ,044 -866 -8323,2025-06-09
38,일반음식점,개미식당,세종특별자치시 장군면 하주막골길 2,세종특별자치시 장군면 대교리 581-2 ,044 -864 -6550,2025-06-09
39,일반음식점,전가복(全家福),세종특별자치시 조치원읍 새내12길 6-1,세종특별자치시 조치원읍 원리 8-3 ,044 -865 -0902,2025-06-09
40,일반음식점,아구식당,세종특별자치시 조치원읍 조치원3길 16,세종특별자치시 조치원읍 원리 15-6 ,044 -866 -5731,2025-06-09
41,일반음식점,동래식당,세종특별자치시 조치원읍 새내10길 19,세종특별자치시 조치원읍 원리 6-19 ,044 -862 -0539,2025-06-09
42,일반음식점,교동국수,세종특별자치시 조치원읍 새내14길 23,세종특별자치시 조치원읍 교리 19-16 ,044 -868 -3715,2025-06-09
43,일반음식점,아리랑 커피호프,세종특별자치시 조치원읍 새내12길 20,세종특별자치시 조치원읍 원리 15-2 ,044 -865 -3222,2025-06-09
44,일반음식점,신설집,세종특별자치시 부강면 부강4길 15,세종특별자치시 부강면 부강리 462-10 ,044 -275 -4465,2025-06-09
45,일반음식점,부강루,세종특별자치시 부강면 부강2길 30,세종특별자치시 부강면 부강리 453-1 ,044 -275 -0844,2025-06-09
46,일반음식점,느린하루,세종특별자치시 조치원읍 새내12길 16,세종특별자치시 조치원읍 원리 15-3 ,044 -866 -5380,2025-06-09
47,일반음식점,맛난식당,"세종특별자치시 조치원읍 새내10길 19, 1층",세종특별자치시 조치원읍 원리 6-19 1층 ,044 -862 -0633,2025-06-09
48,일반음식점,백제식당,세종특별자치시 소정면 세종로 4211,세종특별자치시 소정면 운당리 82-2 ,044 -554 -4001,2025-06-09
49,일반음식점,우체국 떡볶이,세종특별자치시 조치원읍 새내12길 14,세종특별자치시 조치원읍 원리 15-4 ,044 -865 -7501,2025-06-09
50,일반음식점,천일식당,세종특별자치시 조치원읍 장안길 31,세종특별자치시 조치원읍 정리 52-2 외1필지 ,044 -862 -5351,2025-06-09
51,일반음식점,복조갈비,"세종특별자치시 조치원읍 새내12길 51, 1층",세종특별자치시 조치원읍 교리 21-13 (1층) ,044 -862 -3890,2025-06-09
52,일반음식점,강산식당,세종특별자치시 조치원읍 새내6길 41,세종특별자치시 조치원읍 정리 45-2 ,,2025-06-09
53,일반음식점,유명관,세종특별자치시 조치원읍 으뜸길 137,세종특별자치시 조치원읍 원리 154-3 ,044 -862 -3683,2025-06-09
54,일반음식점,놀러와,"세종특별자치시 조치원읍 조치원3길 15, 2층",세종특별자치시 조치원읍 원리 8-12 2층 ,044 -865 -6523,2025-06-09
55,일반음식점,디쁘리,세종특별자치시 조치원읍 새내12길 14,세종특별자치시 조치원읍 원리 15-4 ,,2025-06-09
56,일반음식점,주호 푸드,"세종특별자치시 금남면 용포외곽길 4, 1,2층",세종특별자치시 금남면 용포리 207-21 ,044 -866 -2043,2025-06-09
57,일반음식점,연정식당,세종특별자치시 연서면 당산로 371,세종특별자치시 연서면 봉암리 112-5 ,044 -867 -6579,2025-06-09
58,일반음식점,이바돔,세종특별자치시 조치원읍 새내11길 11,세종특별자치시 조치원읍 원리 9-30 ,044 -865 -2366,2025-06-09
59,일반음식점,송림식당,세종특별자치시 부강면 부강5길 12-1,세종특별자치시 부강면 부강리 479-3 ,044 -279 -9297,2025-06-09
60,일반음식점,광진네생삼겹,세종특별자치시 조치원읍 새내12길 17,세종특별자치시 조치원읍 교리 23-17 (1층) ,044 -862 -4786,2025-06-09
61,일반음식점,시골감자탕,세종특별자치시 조치원읍 조치원5길 15-4,세종특별자치시 조치원읍 원리 15-7 ,,2025-06-09
62,일반음식점,대신식당,세종특별자치시 연서면 당산로 349,세종특별자치시 연서면 봉암리 209-4 ,044 -867 -7127,2025-06-09
63,일반음식점,영주식당,세종특별자치시 조치원읍 조치원5길 12-4,세종특별자치시 조치원읍 원리 3-14 ,044 -862 -3489,2025-06-09
64,일반음식점,송학식당,세종특별자치시 금남면 안금로 533-8,세종특별자치시 금남면 감성리 126-4 ,044 -866 -6177,2025-06-09
65,일반음식점,부민세숫대야냉면,"세종특별자치시 조치원읍 조치원5길 39, 1층",세종특별자치시 조치원읍 교리 23-26 (1층) ,044 -867 -7746,2025-06-09
66,일반음식점,석곡오리촌 세종점,세종특별자치시 금남면 금남구즉로 168,세종특별자치시 금남면 호탄리 257-1 ,044 -868 -5293,2025-06-09
67,일반음식점,거부장,세종특별자치시 조치원읍 조치원로 58-1,세종특별자치시 조치원읍 상리 99-1 ,044 -862 -6070,2025-06-09
68,일반음식점,진로식당,세종특별자치시 연서면 당산로 354,세종특별자치시 연서면 봉암리 214-2 ,044 -867 -9208,2025-06-09
69,일반음식점,유정칼국수,세종특별자치시 장군면 장척로 417-1,"세종특별자치시 장군면 도계리 160-51 ,162-17 ",044 -857 -5999,2025-06-09
70,일반음식점,할머니왕족발,세종특별자치시 부강면 부강로 25,세종특별자치시 부강면 부강리 433-17 ,044 -275 -7197,2025-06-09
71,일반음식점,중앙식당,세종특별자치시 조치원읍 조치원8길 38,세종특별자치시 조치원읍 정리 22 ,044 -866 -2600,2025-06-09
72,일반음식점,신대풍감자탕,세종특별자치시 금남면 용포로 46,세종특별자치시 금남면 용포리 70-4 ,044 -868 -1007,2025-06-09
73,일반음식점,전동분식,세종특별자치시 전동면 운주산로 363,세종특별자치시 전동면 노장리 632-5 ,,2025-06-09
74,일반음식점,신봉양꼬치집,세종특별자치시 조치원읍 새내8길 47,세종특별자치시 조치원읍 정리 18-6 ,044 -867 -9963,2025-06-09
75,일반음식점,원주통닭,세종특별자치시 연서면 당산로 351,세종특별자치시 연서면 봉암리 209-3 ,,2025-06-09
76,일반음식점,감성식당,세종특별자치시 금남면 안금로 570,세종특별자치시 금남면 감성리 58-2 ,044 -866 -7466,2025-06-09
77,일반음식점,행복 순대,세종특별자치시 조치원읍 장안1길 3,세종특별자치시 조치원읍 상리 160-3 ,044 -867 -4477,2025-06-09
78,일반음식점,좋은사람들,세종특별자치시 조치원읍 새내12길 23,세종특별자치시 조치원읍 교리 22-25 (2층) ,044 -863 -3454,2025-06-09
79,일반음식점,모리화,세종특별자치시 금남면 채나무길 61-5,세종특별자치시 금남면 국곡리 144-1 ,044 -857 -9033,2025-06-09
80,일반음식점,불량족발,세종특별자치시 전의면 읍내길 3,세종특별자치시 전의면 읍내리 255-1 ,044 -863 -6002,2025-06-09
81,일반음식점,호짜이라이식당,세종특별자치시 연기면 당산로 128,세종특별자치시 연기면 연기리 383-5 ,070 -8666-4732,2025-06-09
82,일반음식점,일미정 웰빙 한우가든,세종특별자치시 전의면 다운내길 24,세종특별자치시 전의면 유천리 466 ,044 -862 -9922,2025-06-09
83,일반음식점,정원식당,세종특별자치시 연기면 당산로 134,세종특별자치시 연기면 연기리 374-1 ,044 -863 -4519,2025-06-09
84,일반음식점,페리카나치킨 조치원2호점,"세종특별자치시 조치원읍 새내로 65-1, 1층",세종특별자치시 조치원읍 남리 43-3 ,044 -866 -3030,2025-06-09
85,일반음식점,채낭골식당,세종특별자치시 금남면 채나무길 61-3,세종특별자치시 금남면 국곡리 144 ,044 -857 -7447,2025-06-09
86,일반음식점,지정식당,세종특별자치시 금남면 채나무길 61-3,세종특별자치시 금남면 국곡리 144 ,044 -857 -2258,2025-06-09
87,일반음식점,장기순대,세종특별자치시 장군면 장척로 415,세종특별자치시 장군면 도계리 160-39 외1필지(160-13번지) ,044 -857 -1332,2025-06-09
88,일반음식점,돼지네 식당,세종특별자치시 장군면 장척로 397-4,세종특별자치시 장군면 도계리 154-17 18 ,044 -857 -2199,2025-06-09
89,일반음식점,신흥식당,세종특별자치시 장군면 장척로 411,세종특별자치시 장군면 도계리 156-4 ,044 -852 -1278,2025-06-09
90,일반음식점,금강이바돔가든,세종특별자치시 장군면 정계길 105,세종특별자치시 장군면 대교리 100-2 ,044 -857 -1079,2025-06-09
91,일반음식점,은주식당,세종특별자치시 조치원읍 침천길 15,세종특별자치시 조치원읍 침산리 168-5 ,044 -867 -5867,2025-06-09
92,일반음식점,정리서면식당,"세종특별자치시 조치원읍 새내6길 45, 1층 102호",세종특별자치시 조치원읍 정리 44-9 ,,2025-06-09
93,일반음식점,미락식당,세종특별자치시 전의면 만세길 20-17,세종특별자치시 전의면 읍내리 245-13 ,044 -863 -2982,2025-06-09
94,일반음식점,옛집,세종특별자치시 조치원읍 장안2길 6,세종특별자치시 조치원읍 상리 159-1 ,,2025-06-09
95,일반음식점,몽마르뜨,"세종특별자치시 조치원읍 조치원로 31, 지하1층",세종특별자치시 조치원읍 원리 3-5 (지하1층) ,044 -862 -3311,2025-06-09
96,일반음식점,둥구나무식당,세종특별자치시 전동면 중노장길 135-4,세종특별자치시 전동면 노장리 473-2 ,044 -863 -1319,2025-06-09
97,일반음식점,핸썸치킨,세종특별자치시 연기면 당산로 117,세종특별자치시 연기면 연기리 412-19 ,044 -863 -1405,2025-06-09
98,일반음식점,만인 옛날짜장,"세종특별자치시 소정면 세종로 4280, 1동 1층",세종특별자치시 소정면 운당리 27-3 ,044 -867 -5678,2025-06-09
99,일반음식점,울산분식,세종특별자치시 조치원읍 조치원6길 13-10,세종특별자치시 조치원읍 원리 5-1 ,,2025-06-09
100,일반음식점,초정약수식당,세종특별자치시 금남면 초정길 37,세종특별자치시 금남면 대박리 323 ,044 -867 -7967,2025-06-09
101,일반음식점,만남치킨호프,<REPLACE>,세종특별자치시 소정면 소정리 169-16 ,044 -554 -8523,2025-06-09
102,일반음식점,장원참숯불갈비,세종특별자치시 조치원읍 새내12길 25,세종특별자치시 조치원읍 교리 22-24 ,044 -862 -4020,2025-06-09
103,일반음식점,전동 남원추어탕,세종특별자치시 전동면 운주산로 300,세종특별자치시 전동면 심중리 336-10 ,0448-6658-59,2025-06-09
104,일반음식점,제산한방오리,세종특별자치시 연기면 당산로 173,세종특별자치시 연기면 연기리 498-5 ,044 -862 -7084,2025-06-09
105,일반음식점,봉황식당,세종특별자치시 조치원읍 조치원6길 13-10,세종특별자치시 조치원읍 원리 5-1 ,044 -865 -8049,2025-06-09
106,일반음식점,약수정가든,세종특별자치시 금남면 금남구즉로 531-9,세종특별자치시 금남면 대박리 371 ,044 -867 -3536,2025-06-09
107,일반음식점,전동짜장,세종특별자치시 전동면 운주산로 392,세종특별자치시 전동면 노장리 584-19 ,044 -867 -0022,2025-06-09
108,일반음식점,대동한식뷔페&도시락,세종특별자치시 연서면 당산로 360-1,세종특별자치시 연서면 봉암리 54-3 ,044 -867 -9181,2025-06-09
109,일반음식점,석수정,세종특별자치시 전의면 운주산로 1168,세종특별자치시 전의면 동교리 157-10 ,044 -863 -1888,2025-06-09
110,일반음식점,풍성한 밥상,세종특별자치시 조치원읍 새내11길 8,세종특별자치시 조치원읍 교리 25-14 ,044 -865 -38  ,2025-06-09
111,일반음식점,네네치킨조치원점,세종특별자치시 조치원읍 신흥샛터길 41,세종특별자치시 조치원읍 신흥리 1-22 ,044 -867 -8255,2025-06-09
112,일반음식점,석기정,세종특별자치시 조치원읍 조치원3길 30-1,세종특별자치시 조치원읍 교리 23-11 ,044 -863 -4747,2025-06-09
113,일반음식점,사리원면옥,세종특별자치시 조치원읍 조치원6길 8,세종특별자치시 조치원읍 원리 6-20 ,044 -864 -0244,2025-06-09
114,일반음식점,가나식당,세종특별자치시 전의면 운주산로 1188-3,세종특별자치시 전의면 읍내리 246-2 ,044 -863 -3933,2025-06-09
115,일반음식점,나루터식당,세종특별자치시 부강면 금호선말길 3,세종특별자치시 부강면 금호리 710-2 ,044 -275 -4972,2025-06-09
116,일반음식점,우리순대,세종특별자치시 조치원읍 조치원8길 29,세종특별자치시 조치원읍 정리 4-3 ,044 -865 -8712,2025-06-09
117,일반음식점,원미당,세종특별자치시 조치원읍 새내11길 10,세종특별자치시 조치원읍 교리 25-13 ,044 -865 -6463,2025-06-09
118,일반음식점,먹거리식당,세종특별자치시 조치원읍 새내로 155,세종특별자치시 조치원읍 교리 51-1 ,044 -866 -4711,2025-06-09
119,일반음식점,금성 매운탕,세종특별자치시 연서면 도신고복로 615,세종특별자치시 연서면 용암리 176-12 ,044 -862 -4401,2025-06-09
120,일반음식점,징기스칸치킨,세종특별자치시 조치원읍 새내로 119,세종특별자치시 조치원읍 교리 25-24 ,044 -862 -7720,2025-06-09
121,일반음식점,수와마을,세종특별자치시 조치원읍 충현로 75-1,세종특별자치시 조치원읍 죽림리 379-16 ,044 -866 -5253,2025-06-09
122,일반음식점,형태네식당,"세종특별자치시 조치원읍 돌간길 56, 1층",세종특별자치시 조치원읍 신안리 368 ,,2025-06-09
123,일반음식점,공주분식,"세종특별자치시 조치원읍 조치원10길 9, 3호",세종특별자치시 조치원읍 상리 71-4 ,,2025-06-09
124,일반음식점,부강 꿀돼지,세종특별자치시 부강면 부촌길 51,세종특별자치시 부강면 부강리 414-1 ,044 -275 -1859,2025-06-09
125,일반음식점,오뚜기식당,"세종특별자치시 부강면 구들기길 6-3, 1층",세종특별자치시 부강면 부강리 723-12 ,044 -275 -0252,2025-06-09
126,일반음식점,강산,세종특별자치시 부강면 부강외천로 138,세종특별자치시 부강면 문곡리 953-6 ,,2025-06-09
127,일반음식점,마루,"세종특별자치시 국세청로 45, 상가동 1층 A121호 (나성동, 나릿재마을3단지)",세종특별자치시 나성동 833 나릿재마을3단지 , 042- 824-0030,2025-06-09
128,일반음식점,지화정,세종특별자치시 조치원읍 장안로 18-7,세종특별자치시 조치원읍 정리 18-1 ,,2025-06-09
129,일반음식점,초정골식당,세종특별자치시 금남면 초정길 56,세종특별자치시 금남면 대박리 340 ,044 - 866-6768,2025-06-09
130,일반음식점,조광식당,세종특별자치시 조치원읍 새내12길 45,세종특별자치시 조치원읍 교리 21-17 ,044 -862 -0951,2025-06-09
131,일반음식점,다인아구찜,세종특별자치시 조치원읍 허만석로 39,세종특별자치시 조치원읍 번암리 105-6 ,044 -863 -8893,2025-06-09
132,일반음식점,세종에머슨(주),"세종특별자치시 전의면 운주산로 1510, 가동 2층",세종특별자치시 전의면 유천리 192 외146필지(2층) 가동 ,044 -862 -4004,2025-06-09
133,일반음식점,숙이네 식당,세종특별자치시 금남면 대평시장1길 6-1,세종특별자치시 금남면 용포리 188-4 ,044 -866 -6186,2025-06-09
134,일반음식점,국수장이,세종특별자치시 조치원읍 조치원4길 34,세종특별자치시 조치원읍 정리 87-16 ,,2025-06-09
135,일반음식점,조치원 낚시터,세종특별자치시 전동면 전동로 245,세종특별자치시 전동면 노장리 550-5 ,044 -862 -1817,2025-06-09
136,일반음식점,운주산오리,세종특별자치시 전동면 모산고개길 143 (1층),세종특별자치시 전동면 미곡리 168-3 1층 ,044 -862 -6102,2025-06-09
137,일반음식점,온정한식부페,세종특별자치시 조치원읍 세종로 2676,세종특별자치시 조치원읍 신안리 134-8 ,044 -865 -0922,2025-06-09
138,일반음식점,시장닭집,세종특별자치시 금남면 대평시장1길 6,세종특별자치시 금남면 용포리 192-2 ,044 -866 -9061,2025-06-09
139,일반음식점,모카,세종특별자치시 전의면 운주산로 1188-2,세종특별자치시 전의면 읍내리 217-4 ,044 -865 -5705,2025-06-09
140,일반음식점,아성,세종특별자치시 조치원읍 장안2길 63,세종특별자치시 조치원읍 남리 11-45 ,044 -868 -9800,2025-06-09
141,일반음식점,마라도 식당,세종특별자치시 전의면 운주산로 1206-1,세종특별자치시 전의면 읍내리 258-4 ,044 -862 -7372,2025-06-09
142,일반음식점,시골밥상,"세종특별자치시 연동면 청연로 722, 1층",세종특별자치시 연동면 송용리 262 외 1필지(1층) ,044 -865 -6561,2025-06-09
143,일반음식점,계림식당,세종특별자치시 금남면 채나무길 60-1,세종특별자치시 금남면 국곡리 145 ,044 -853 -8310,2025-06-09
144,일반음식점,청학골생고기,세종특별자치시 조치원읍 장안로 64,세종특별자치시 조치원읍 남리 404 ,044 -862 -3458,2025-06-09
145,일반음식점,물레가든,세종특별자치시 소정면 세종로 4368-9,세종특별자치시 소정면 운당리 184-1 ,044 -566 -6475,2025-06-09
146,일반음식점,즐거운집,"세종특별자치시 조치원읍 운주산로 68, 1층",세종특별자치시 조치원읍 신안리 247-6 1층 ,044 -862 -4421,2025-06-09
147,일반음식점,백수가든,세종특별자치시 연서면 복골길 10,세종특별자치시 연서면 고복리 470-2 ,044 -863 -4788,2025-06-09
148,일반음식점,대가집 추어탕 코다리,세종특별자치시 전의면 방앗골길 12,세종특별자치시 전의면 관정리 224 ,044 -862 -8683,2025-06-09
149,일반음식점,학마을식당,세종특별자치시 금남면 바람재로 2,세종특별자치시 금남면 감성리 124-1 ,044 -866 -7360,2025-06-09
150,일반음식점,장충동왕족발,세종특별자치시 조치원읍 새내2길 8,세종특별자치시 조치원읍 남리 322 ,044 - 867-3300,2025-06-09
151,일반음식점,구름나그네,세종특별자치시 연서면 안산길 146,세종특별자치시 연서면 고복리 563-1 ,044 - 867-2259,2025-06-09
152,일반음식점,에브리선데이커피 본점,세종특별자치시 연서면 안산길 76 (1층),세종특별자치시 연서면 용암리 25-1 1층 ,044 -862 -4595,2025-06-09
153,일반음식점,전의중국성,세종특별자치시 전의면 읍내길 3,세종특별자치시 전의면 읍내리 255-1 외2필지 ,044 -867 -3763,2025-06-09
154,일반음식점,원두막,세종특별자치시 연서면 안산길 154,세종특별자치시 연서면 고복리 562-3 ,044 -867 -5727,2025-06-09
155,일반음식점,제주도화,세종특별자치시 연서면 와룡로 606,세종특별자치시 연서면 용암리 216 ,044 -862 -2361,2025-06-09
156,일반음식점,산모퉁이,세종특별자치시 연서면 도신고복로 705,세종특별자치시 연서면 용암리 76-2 ,044 -866 -3273,2025-06-09
157,일반음식점,에이치16(H16),세종특별자치시 연서면 복골길 16,세종특별자치시 연서면 고복리 469-8 ,044 -867 -5786,2025-06-09
158,일반음식점,카티지피자,세종특별자치시 조치원읍 행복12길 9-13,세종특별자치시 조치원읍 침산리 260-5 ,044 -865 -3045,2025-06-09
159,일반음식점,대청마루,세종특별자치시 조치원읍 죽림본로 5,세종특별자치시 조치원읍 죽림리 264-3 ,044 -868 -1488,2025-06-09
160,일반음식점,일기예보,세종특별자치시 조치원읍 조치원8길 41,세종특별자치시 조치원읍 정리 18-4 ,044 -866 -2221,2025-06-09
161,일반음식점,산장가든,"세종특별자치시 연서면 도신고복로 1131-7, 1층,2층",세종특별자치시 연서면 고복리 32 ,044 -867 -3333,2025-06-09
162,일반음식점,초원식당,세종특별자치시 전의면 운주산로 1254,세종특별자치시 전의면 읍내리 126-1 ,044 - 867-3370,2025-06-09
163,일반음식점,장짜장,세종특별자치시 조치원읍 내창2길 11-1,세종특별자치시 조치원읍 서창리 155-3 외1필지(1층) ,,2025-06-09
164,일반음식점,세종미트정육식당,"세종특별자치시 조치원읍 행복5길 14, 1층",세종특별자치시 조치원읍 침산리 265-1 (1층) ,044 - 863-9566,2025-06-09
165,일반음식점,곤지암할매소머리국밥 금남점,세종특별자치시 금남면 금남구즉로 40 (1층),세종특별자치시 금남면 신촌리 286-4 1층 ,044 -864 -3351,2025-06-09
166,일반음식점,아성관,세종특별자치시 전동면 하노장1길 21,세종특별자치시 전동면 노장리 588-2 ,044 - 862-3144,2025-06-09
167,일반음식점,알밤식당,세종특별자치시 연서면 도신고복로 879,세종특별자치시 연서면 고복리 494-6 ,044 - 862-1546,2025-06-09
168,일반음식점,베트남 샤브샤브 쌀국수,"세종특별자치시 조치원읍 새내로 111, 2층",세종특별자치시 조치원읍 원리 9-14 (2층) ,044 -868 -5559,2025-06-09
169,일반음식점,우보설렁탕,세종특별자치시 조치원읍 문화로 24,세종특별자치시 조치원읍 평리 23-51 ,044 -863 -6709,2025-06-09
170,일반음식점,경희네손칼국수,세종특별자치시 장군면 대교길 3,세종특별자치시 장군면 대교리 562-1 ,044 -858 -9207,2025-06-09
171,일반음식점,태능숯불갈비,세종특별자치시 부강면 부강5길 1,세종특별자치시 부강면 부강리 433-2 ,044 -275 -8770,2025-06-09
172,일반음식점,시골촌두부,세종특별자치시 조치원읍 돌마루7길 7-1,세종특별자치시 조치원읍 서창리 292-1 ,044 -863 -3352,2025-06-09
173,일반음식점,자금성,세종특별자치시 소정면 소정구길 169,세종특별자치시 소정면 소정리 196-10 ,044 -566 -0349,2025-06-09
174,일반음식점,오성숯불갈비,세종특별자치시 금남면 용포로 119-47,세종특별자치시 금남면 용포리 221-4 (1층) ,044 -862 -6742,2025-06-09
175,일반음식점,인수분식,세종특별자치시 조치원읍 신흥샛터길 31,세종특별자치시 조치원읍 신흥리 10-7 ,044 -864 -7354,2025-06-09
176,일반음식점,용암골,세종특별자치시 연서면 도신고복로 613-2,세종특별자치시 연서면 용암리 176-13 ,044 -862 -0600,2025-06-09
177,일반음식점,종촌식당,세종특별자치시 조치원읍 장안길 15,세종특별자치시 조치원읍 정리 20-1 1층 ,044 -867 -5994,2025-06-09
178,일반음식점,봉암손짜장,세종특별자치시 연서면 봉암길 126,세종특별자치시 연서면 봉암리 234-21 ,044 -867 -8883,2025-06-09
179,일반음식점,오늘도 해피(오늘도 HAPPY),세종특별자치시 연서면 도신고복로 741 (1층),세종특별자치시 연서면 용암리 100-4 1층 ,044 -866 -5088,2025-06-09
180,일반음식점,산촌밥상,세종특별자치시 연기면 당산로 156,세종특별자치시 연기면 연기리 451-5 ,044 -864 -2616,2025-06-09
181,일반음식점,신흥가든,세종특별자치시 연기면 당산로 144,세종특별자치시 연기면 연기리 434-2 ,044 -863 -4253,2025-06-09
182,일반음식점,페리카나3체인점,세종특별자치시 조치원읍 충현로 159,세종특별자치시 조치원읍 침산리 89 욱일아파트상가B07호 ,044 -866 -9621,2025-06-09
183,일반음식점,한끼두끼,세종특별자치시 연서면 당산로 357,세종특별자치시 연서면 봉암리 210-12 211-7 ,044 -867 -5848,2025-06-09
184,일반음식점,더블더블,세종특별자치시 조치원읍 산막2길 7 (상가1단지 103호),세종특별자치시 조치원읍 죽림리 158 신동아파트 상가1단지 103호 ,044 -865 -4146,2025-06-09
185,일반음식점,쑥티식당,세종특별자치시 금남면 용포로 50,세종특별자치시 금남면 용포리 67-1 ,,2025-06-09
186,일반음식점,충남식당,세종특별자치시 연동면 청연로 606-28,세종특별자치시 연동면 내판리 17-13 ,044 -864 -5848,2025-06-09
